id,name
1,Central Area/City Area
2,Tanglin
3,Central Water Catchment
4,Marina Centre
5,Marina Bay
6,Outram
7,Mount Faber Park
8,Changi West
9,City Hall
10,Central Business District
11,Tuas
12,Changi
13,Little India
14,Toh Guan
15,Pasir Ris
16,Boulevard
17,Lavender
18,Somerset
19,Bukit Batok
20,Marine Parade
21,Southern Islands
22,Museum
23,Geylang East
24,Tanjong Rhu
25,Crawford
26,Yishun
27,Red Light District
28,Woodlands
29,Punggol Town Centre
